flower_name,desc,arial,eco,resursi
ВАСИЛЕК БЛАГОСЛОВЕННЫЙ,,,"Экология. В Центральном Черноземье этот вид растет на глинистых пустырях, залежах, среди посевов, на открытых участках садов и в огородах. Обычен на суглинках, глинистых и лессовых почвах.",
ВАСИЛЕК ПОСЕВНОЙ,"Описание. Однолетнее или двулетнее растение высотой 30-80 см, с тонким, стержневым разветвлен - ным корнем и прямым, ветвистым, клочковато-паутини - стоопушенным стеблем. Листья очередные, серо-зеле - ные, паутинисто-шерстистые; нижние — тройчато- или перистолопастные, реже цельные, черешковые, отми - рающие ко времени цветения; выше на стебле листья крупнозубчатые, самые верхние — цельнокрайные, сидячие, линейные. Цветки в соцветиях — корзинках, расположенных на концах стебля и его разветвлений. Обертка корзинок состоит из черепитчато- налегающих друг на друга листочков; наружные и средние из них — эллиптические, по краю беловато-бахромчатые, вну - тренние — линейные, желтоватые, на концах перепон - чатые, цельные или слегка зубчатые. Цветоложе пло - ское, усаженное длинными щетинками. Краевые цветки («лепестки») бесполые, синие, воронковидные, глубоко пяти-восьмираздельные, длиной до 2 см, внутренние — обоеполые, трубчатые, фиолетовые, пятизубчатые, дли - ной до 1 см. Тычинок 5, с шерстистыми, свободными нитями и сросшимися пыльниками. Пестик с нижней завязью. Плод — опушенная, серая или желтовато-се - рая семянка, на верхушке с многорядным хохолком из неравных, рыжеватых, жестких, легко обламывающих - ся волосков. Выведены декоративные сорта с разнообразной окраской цветков (белые, розовые, красные, тёмно-ли - ловые, шоколадные и др.), махровые и полумахровые формы. Цветет в июне-июле; плоды (семянки) созревают в августе. Диплоидный набор хромосом 2n=24. В медицине используют краевые воронковидные и срединные трубчатые цветки василька синего. Другие виды. В Крыму, на Кавказе и в Средней Азии вместо василька синего может быть ошибочно со - бран близкий вид – василек приплюснутый С. depresssus (M.Bieb.) Sojak. Он отличается почти от основания разветвленными стеблями, опушенными густыми при - жатыми волосками; обертки более крупные (шириной 9-13 мм), также, как и семянки (длиной 5,0-5,5 мм), хохолок длиннее (длиной 6-8 мм); внутренний хохолок состоит из пленок (а не из коротких щетинок, как у С. segetum ). Использование этого вида не предусмотрено технической документацией на цветки василька синего.",,,
ВАХТА ТРЕХЛИСТНАЯ ,"Описание. Травянистый многолетник с длинным горизонтальным корневищем; из его верхушечной поч - ки образуется укороченный побег, несущий 3-5 длинно - черешковых тройчатых листьев и пазушный цветонос с кистевидным соцветием. Чашечка пятираздельная. Венчик 10-14 мм длины, белый или розовый, воронко - видный, до половины или ниже разделенный на 5 слегка мясистых, заостренных, с внутренней стороны бахром - чатых долей. Тычинок 5; столбик один, с двулопастным рыльцем; завязь верхняя. Плод — двусторонняя коро - бочка длиной 7-8 мм. Семена эллиптические, гладкие, буроватые. Зачатки соцветий у вахты закладываются в июле предыдущего года. Осенью побег в почке бывает полностью сформирован. Весной рост побегов начина - ется в мае и продолжается до августа; отмирает побег в сентябре-октябре; за вегетативный период образуется одна генерация листьев. Зацветает в конце мая-начале июня, при достижении суммы эффективных температур 106° C. Плоды созревают в июне-июле. Диплоидный набор хромосом 2 n=54. В медицине используют листья вахты трехлист - ной.","Ареал. Вахта имеет голарктический тип ареала. В России это растение произрастает на всей европей - ской части, за исключением ее южных районов, и почти на всей территории азиатской части, кроме Крайнего Севера. Отдельные фрагменты ареала, изолированные от его основного массива, имеются на Кавказе (Запад - ное Предкавказье, Западный и Центральный Кавказ) и на островах Дальнего Востока России. На севере ев - ропейской части страны вахта трехлистная проникает в тундровую зону, доходя до побережья Ледовитого оке - ана. В азиатской части граница отступает от северной окраины материка к югу: в Западной Сибири она опу - скается на 2-3° южнее 70-й параллели, в Средней Си - бири вновь поднимается к северу, достигая 71-72°с.ш., а в Восточной Сибири идет приблизительно по широте 70°. На крайнем северо-востоке страны граница распро - странения вахты трехлистной отклоняется к югу и вы - ходит к Берингову морю близ устья Анадыря. Южная граница начинается от р. Северский До - нец, в месте пересечения границы с Украиной, далее поворачивает на север до среднего течения Хопра, затем идет на восток и в районе Саратова пересекает Волгу. Обогнув Южный Урал, граница уходит за пределы Рос - сии в Казахстан. Далее на восток граница ареала вахты уходит за пределы государственной границы России.",,
ВЕРБЕНА ЛЕКАРСТВЕННАЯ,,,,
ВЗДУТОПЛОДНИК СИБИРСКИЙ,,,,
ВИНОГР АД КУЛЬТУРНЫЙ,,,,
ВОДОСБОР ОБЫКНОВЕННЫЙ ,"Описание. Многолетнее, голое травянистое расте - ние с коротким и относительно толстым корневищем. Стебли прямостоячие, высотой 30-80 см, ветвящиеся и железистоволосистые в верхней части. Прикорневые листья дважды-тройчатосложные. Листья черешковые, дважды-трехраздельные с трехлопастными, по краям зазубренными или цельнокрайними листочками. Цвет - ки диаметром 4-5 см, с 5 чашелистиками и 5 лепест - ками, одиночные, поникающие, на длинных ножках, выходящих из пазух верхних листьев. Чашелистики широкояйцевидные, окрашенные аналогично венчику. Лепестки косоворонковидные, при основании сужен - ные в шпорец, синие, лиловые, реже розовые или бе - лые. Шпорцы крючковидные, вдвое длиннее отгибов. Тычинки многочисленные, не выступающие из около - цветника. Пестиков 5. Между тычинками и пестиками расположены пленчатые стаминодии. Плод – пятили - стовка длиной около 2,5 см. Семена мелкие черные. Цветет в мае-августе. Диплоидный набор хромосом 2n =14. В медицине используется надземная часть (трава) водосбора обыкновенного.","Ареал. Встречается по всей европейской части России, включая Крым, кроме северных и восточных районов. Культивируется во всех регионах России как декоративное растение. Нередко дичает.",,
ВОЛОДУШКА ЗОЛОТИСТАЯ,"Описание. Короткокорневищное многолет - нее поликарпическое растение. Корневища тонкие, темно-коричневые, ползучие, слаборазветвлённые. Побеги голые, сизые, обычно одиночные (иногда в числе 2-3), в верхней части слабо ветвистые, вы - сотой 25-150 см; прикорневые и частично нижние стеблевые листья продолговато-обратнояйцевидные или широкоэллиптические, к основанию суженные в довольно узкий и длинный черешок, туповатые, до 20 см длиной (с черешком) и 3-6 см шириной; сред - ние стеблевые листья пронзенные, сидячие, от поч - ти обратнояйцевидных до продолговато-яйцевидных или яйцевидных, туповато-заостренные, в основании с крупными ушками, или сердцевидные, почти сте - блеобъемлющие, 5-15 см длиной и 2-7 см шириной; верхние стеблевые – более мелкие и относительно более широкие (широкояйцевидные или почти окру - глые), самые верхние обычно желтоватые. Зонтики крупные, немногочисленные; осевые – с 5-10 (20) прямыми или дуговидно изогнутыми, до - вольно тонкими лучами длиной до 57 см; обертки из 3-5 крупных, обычно широко и неправильно яйце - видных, неравных листочков длиной 1-3,5 см, сход - ных с верхними листьями; оберточки из 5 (8) яйце - видных, эллиптических или почти округлых, на вер - хушке короткозаостренных или тупых, тонких плен - чатых листочков, ярко-желтых или зеленых, почти равные или значительно длиннее зонтичков. Цветки по 15-20 в зонтичке, на довольно длин - ных (2-5 мм) цветоножках, лепестки желтые, об - ратнояйцевидные, на верхушке цельные, загнутые внутрь, гипостиль низкоконический или дискоид - ный, бледно-желтый; гинецей синкарпный. Плоды – продолговато-эллиптические темнокоричневые вис - лоплодники, длиной до 4 (6) мм, с 4 продолговатыми бороздками, распадающиеся на два мерикарпия. В отечественной научной литературе володу - шка золотистая обычно указывается, как подвид володушки длиннолистной – Bupleurum longifolium subsp. aureum (Fisch.) Soó, но согласно современной международной ботанической номенклатуры (база данных The Plant List (theplatlist.org) она выделяется в отдельный вид Bupleurum aureum Fisch. ex Hoffm. Цветет июне-июле, плодоносит в августе-сентя - бре. Диплоидный набор хромосом 2n=16. Лекарственным сырьем володушки золотистой является трава.","Ареал. На территории России володушка зо - лотистая растет в Европейской части страны (преи - мущественно северные районы Нечерноземья, По -волжье), на Урале, в Западной и Восточной Сибири. Володушка золотистая (указанная как подвид воло - душки длиннолистной B. longifolium subsp. aureum (Fisch.) Soó) охраняется в ряде субъектов Российской Федерации. За пределами России распространена в Европе, Средней Азии (Казахстан, Кыргызстан), Китае (За - падный Синьцзян) и Монголии.","Экология. Володушка золотистая растет пре - имущественно по открытым светлым лесам (в рав - нинных регионах), среди кустарников, на полях и на горных склонах (на высотах до 1300—1900 м над уровнем моря) и по берегам рек в составе лугово - го разнотравья.",
ГАМАМЕЛИС ВИРГИНСКИЙ,"Описание. Кустарник, полукустарник высотой 2-9 м. Молодые побеги опушенные, впоследствии го - лые, желто-бурые. Кора ствола и ветвей светло-серая. Листья очередные, короткочерешковые, длиной 8-15 см, и шириной 5-8 см, обратнояйцевидные или широкоэл - липтические, асимметричные, у основания слабояйце - видные или клиновидные, городчато-зубчатые, сверху голые, снизу, в молодом возрасте, на черешке и жилках заметны рыжие звездчатые волоски. Прилистники опа - дают быстро. Цветки обоеполые, реже однополые, аро - матные, скученные по 2-5 на поникающих пазушных цветоносах. Четыре лепестка ярко-желтого цвета, лен - товидные, длиной 1,5-2 см и в несколько раз превыша - ющие длину чашелистиков. В бутоне свернуты в виде пружинки. Тычинок 4, с короткими нитями и почти шаровидными пыльниками. С тычинками чередуются 4 коротких и плоских стаминодия. Пестик с двугнезд - ной завязью, двумя короткими столбиками и туповатым рыльцем. Одновременно в период осеннего цветения со - зревают плоды, завязавшиеся в предшествующем году. Плод – широкоэллиптическая двусемянная коро - бочка длиной 1-1,5 см, примерно до середины окруже - на разрастающейся чашечкой, а на конце с 4 короткими крючкообразными отростками. При созревании коро - бочка растрескивается на верхушке и семена разлета - ются в разные стороны. Семена продолговатые, с одной стороны почти плоские, черные, с плотной блестящей оболочкой. Масса 1000 шт. – 40 г. Цветет с конца сентя - бря до декабря (в Южной Европе) в период или после опадения листьев, плоды созревают весной-летом сле - дующего года. Зимует в кустарниковой форме в районе Москвы и Санкт-Петербурга, цветет, но не плодоносит. У гамамелиса виргинского весьма необычное для умеренного климата одновременное проявление осен - них и весенних фаз развития, то есть проявляется несо - ответствие некоторых фаз сезонным ритмам. Эмбрио - нальное развитие цветочной почки происходит в теплое время года, а цветение и первые этапы развития плода совпадают с холодными месяцами. В Московском регионе начало весеннего распуска - ния почек – в начале 3 декады апреля, цветение – в сен - тябре-январе последующего года, созревание семян, завязавшихся в предыдущем году – в сентябре-октябре. Диплоидный набор хромосом 2n=24. Лекарственным растительным сырьем являются листья и кора растения. Другие виды. Гамамелис мягкий Hamamelis mollis Oliv.ex F.B.Forbes & Hemsl. – реликтовый вид, эндемик южного Китая. Это дерево или древовидный кустарник высотой до 8 м, выращивают как декоративное расте - ние. Отличается от г. виргинского обильным опушени -ем. Листья г. мягкого используют для получения экс - тракта, обладающего антирадикальной активностью. Гамамелис средний Hamamelis x intermedia Rehder возник как спонтанный гибрид между гамамелисом японским и г. мягким в 1930-х годах. Существует много сортов: с лимонно-желтыми, золотисто-желтыми, яр - ко-желтыми, оранжевыми и медно-красными цветками разных размеров (от мелких до крупных), приятным ароматом, красивыми красными и оранжевыми оттен - ками осенних листьев, разным габитусом растений. Г. средний и г. мягкий используют для озеленения.",Ареал. Родина гамамелиса — Атлантическое по - бережье Северной Америки. В естественных условиях его дикие заросли находятся в южной и восточной ча - сти США от штатов Техас и Джорджия до Великих Озер и Канады . В Европу был завезен английским ботаником Кол - линсоном в 1736 году. Как декоративное растение вы - ращивается во многих странах с умеренным климатом. Очень популярен в Европе при озеленении парков.,,
ГАРМАЛА ОБЫКНОВЕННАЯ ,,,,
ГОРЕЦ ЗМЕИНЫЙ,,,,
ГОРЕЦ ПЕРЕЧНЫЙ,"Описание. Однолетнее травянистое растение с прямостоячим, обычно красноватым, ветвистым сте - блем, высотой 30-60 см. Корни сравнительно короткие, маловетвистые. Листья очередные, ланцетовидные, за - остренные, с узкоклиновидным основанием, нижние короткочерешковые, верхние почти сидячие, по краю с короткими жесткими ресничками, слегка волнистые. Раструбы цилиндрические, пленчатые, красноватые, на поверхности голые, по краю с короткими ресничка - ми или без них. Цветки на концах побегов, сидячие, по 1-3 в пазу - хах листьев, образуют негустые, длинные, тонкие, нередко прерывистые, с поникающей верхушкой со - цветия. Околоцветник длиной 3-4 мм, обычно че - тырехраздельный (реже трех-пятираздельный), зе - леноватый или розоватый, снаружи густо усеянный золотисто-желтыми точечными железками. Тычинок 3-8, плоды — яйцевидные орешки, 2,5–3,5 мм длиной, 1,5–2 мм шириной, 0,8–1,5 мм толщиной, немного ко - роче околоцветника, с одной стороны плоские, с дру - гой — выпуклые, с тусклой мелкозернистой поверх - ностью. Плоды заостренные, трех- двугранные. У дву - гранных плодов обе стороны выпуклые (линзовид - ные), или одна сторона более выпуклая и образует ши - рокую крышу. Кончик острый с перистым придатком. У рубчикового конца часто расположен остаток около - цветника. Поверхность темно-коричневая или корич - нево-черная. Цветет и плодоносит с июня по октябрь, в Запад - ной Сибири — с середины июня до сентября. Диплоидный набор хромосом 2 n=18, 22, 30. Секвенирование ДНК генома хлоропластов позволило уточнить таксономическую принадлежность вида вну - три рода Persicaria : он отнесён к секции Eupersicaria . Лекарственным растительным сырьем является надземная часть (трава) горца перечного. Близкие виды . Горец мягкий — P . mit is (Schrank) Holub , отличается от P . hydropiper приподнимающи - мися или восходящими стеблями высотой 15-30 см, с тонкими ветвями; листьями — продолговато-лан - цетовидными, с выступающими боковыми жилками, красноватым околоцветником без железок. Горец малый — Р. minus (Huds.) Opiz имеет лежа - чие или восходящие, реже прямостоячие разветвлен - ные стебли, линейные или линейно-ланцетовидные листья, с неясно выраженными боковыми жилками.","Ареал. Горец перечный — голарктический вид, широко распространен почти во всей европейской ча - сти России (за исключением Крайнего Севера), на Кав - казе, в Западной и Восточной Сибири, в южных рай - онах Дальнего Востока. В Якутии, на Камчатке и на Охотском побережье отсутствует. Северная граница ареала проходит примерно по 65°с.ш. на территории республики Карелия и по долине р. Кемь достигает Белого моря, южной части Соловецких о-вов, Архан - гельска. Затем, по долине Северной Двины опускает - ся к югу, севернее Котласа поворачивает на восток, пересекая около 55°в.д. бассейн Печоры, Северный Урал и, приблизительно на 61°с.ш., выходит на тер - риторию Сибири. Здесь она проходит через бассейн Конды, близ устья Иртыша пересекает Обь (около 71°в.д.) и по долине р. Кеть уходит в Красноярский край. Около Енисейска пересекает Енисей и следует далее к Киренску на Лене. Затем, огибая северную оконечность Байкала, идет через верховья р. Витим к р. Шилке, пересекает ее, выходит в долину Амура и следует по нему до Комсомольска-на-Амуре. Не - сколько местонахождений P . hydropiper отмечено так - же на Сахалине и на Курилах. Далее ареал горца перечного уходит за пределы территории России в Китай, Монголию, Казахстан. С территории Казахстана он опять поворачивает на север на территорию РФ к Челябинску, затем – на юг и восточнее Магнитогорска пересекает р. Урал. По до - лине этой реки граница ареала проходит до г. Ураль - ска и примерно по той же широте идет к Волге и спу - скается по ее долине до Астрахани. Далее на запад южная граница идет по побережью Каспийского моря до правого борта долины Волги. Снова поднимается до Волгограда, подходит к долине Дона (восточнее Ростова-на-Дону), затем языком окаймляет предгорья Северного Кавказа, далее к западу и на западе ареал уходит за пределы государственной границы Россий - ской Федерации. P . hydropiper распространен по всему миру и найден в умеренной и тропической Азии, вклю - чая Западную, Восточную и Среднюю Азию; Китае, Индии, Индокитае и Малайзии; в Европейском ре - гионе встречается в Северной, Средней, Восточной, Юго-Восточной и Юго-Западной Европе; обнаружен в Северной Африке и Австралии.","Экология. Горец перечный – влаголюбивое рас - тение, обитает преимущественно в лесной зоне, но по долинам рек заходит в степную и полупустынную зоны. Произрастает в поймах рек, на заболоченных местах, по сырым лугам, уремам, топким берегам рек, озер, прудов, стариц, вдоль сырых дорог и арыков. Часто, как сорное растение, встречается на сырых по - чвах орошаемых полей и в населенных пунктах, вдоль канав, около прудов.",
ГОРЕЦ ПОЧЕЧУЙНЫЙ,"Описание. Однолетник с восходящим или пря - мостоячим ветвистым стеблем высотой 20-80 см. Ли - стья короткочерешковые, ланцетовидные или линей - но-ланцетовидные, длиннозаостренные, к основанию клиновидносуженные, цельнокрайние, длиной 3-10 см и шириной 0,5-2 см, часто на верхней стороне с бурым пятном. Раструбы узкие, плотно охватывающие сте - бель, на поверхности с короткими прижатыми волоска - ми, по краю с довольно длинными ресничками. Цветки розовые, реже белые, в конечных густых колосовидных соцветиях, достигающих длины 2-3 см. Околоцветник простой, как и цветоножки, без железок, глубоко рассе - ченный на 5 долей. Тычинок большей частью 6. Плод 2-2,5 мм длиной, 1,5-1,8 мм шириной, 0,6- 0,8 мм толщиной широкояйцевидный орешек, с обеих сторон плоский, или же одна его сторона выпуклая, реже — трехгранный. Плод в очертании почти оваль - ный или округлый с маленькой острой верхушкой. Ши - рокая сторона часто слабо крышевидная; иногда плод округло-трехгранный. Поверхность темно-коричневая или черная, гладкая, блестящая . В Европейской России, Западной Сибири цветет в июне. Диплоидный набор хромосом 2n=22, 40, 44. В медицине используется трава горца почечуйного. Другие виды. По морфологическим признакам к P . persicaria близок горец шероховатый — P . scabrum Moench, отличающийся зеленоватыми цветками, более широкими продолговатыми или продолговато-эллипти - ческими листьями, покрытыми точечными железками и паутинистым опушением, железистыми ветвями со - цветия, цветоножками и околоцветником. Встречаются гибриды между Р. persicaria и Р. scabrum . Горец щавелелистный — P . lapathifolium L. (P. nodosum Pers.) отличается от горца почечуйного эл - липтическими или продолговато-ланцетовидными, су - женными в довольно длинный черешок и постепенно длиннозаостренными листьями, покрытыми снизу же - лезками. Цветоносы, цветоножки и околоцветники без железок. Цветки красноватые или беловатые. Иногда эти виды ошибочно попадают в сырье горца почечуй - ного, возможность их использования в медицине не из - учена.","Ареал. P . maculosa имеет дизъюнктивный евроази - атский ареал. Основной участок ареала находится в ев - ропейской части России и на Северном Кавказе. Изо - лированные участки имеются на Кольском полуострове, в Западной Сибири, Красноярском крае и на Дальнем Востоке. В изолированных участках ареала горец поче - чуйный встречается редко. Северная граница распространения горца поче - чуйного начинается от государственной границы России (61°с.ш.), огибает Ладожское озеро, спускается к югу до 59°с.ш. и на этой широте идет до 40°в.д., затем подни - мается к северу до Архангельска и по 65°с.ш. уходит на восток, пересекая реки Пинегу и Мезень. Далее граница резко поворачивает к югу, проходит по 60°с.ш., почти достигает левобережья Тобола (57°с.ш.) и по южному Уралу опускается до 49°с.ш., огибает Общий Сырт, Прикаспийскую низменность, доходит до левого берега Волги и узкой полосой опускается вдоль нее к Каспий - скому морю. По правобережью Волги идет узкой поло - сой от ее дельты до Волгограда и далее вдоль Донской гряды, пересекая Дон, уходит к югу до Большого Кавка - за и вдоль его предгорий выходит к Каспийскому морю. На Кавказе распространен во всех районах, от низмен - ности до среднего горного пояса. На юге и западе ареал горца почечуйного дости - гает государственной границы РФ и уходит в соседние страны Европы и Азии. В Западной Сибири фрагментарный участок аре - ала находится в междуречье Ишима и Иртыша (Ишим - ская степь и небольшая часть северо-западной оконеч - ности Казахского мелкосопочника) и узкой полосой тянется вдоль правого берега Иртыша (Барабинская степь). В Красноярском крае изолированный участок ареала расположен в междуречье рр. Енисея (с выходом в левобережную часть долины Енисея от Абакана до Енисейска), Кана и Ангары, достигая на севере Подка - менной Тунгуски. Отдельные его местонахождения встречаются в Алтайском крае (вблизи Барнаула), Новосибирской области (бассейн Чулыма) и в немногих пунктах Даль - него Востока. Во многих местонахождениях, в особен - ности вне основного ареала и у его границ, горец по - чечуйный, несомненно, является заносным растением, появившимся здесь лишь в недавнее время. На Дальнем Востоке это Приморье, южный и восточный Амур, Са - халин, Камчатка (окрестности Мильково и Петропав - ловска-Камчатского), Южно-Курильский район. Встре - чается во многих странах мира на разных континентах: в Европе, Азии, Южной Америке.","Экология. Горец почечуйный имеет хорошо выра - женные мезофильные признаки в анатомическом стро - ении листьев. Растет по сырым местам, на илистых от - ложениях, на низинных лугах, по берегам рек, ручьев, стариц, озер, прудов, обочинам дорог, как сорняк в по - севах, огородах и садах. Иногда занимает значительные площади на полях как пожнивной сорняк, а также на молодых залежах, расположенных в низинах.",
ГОРЕЦ ПТИЧИЙ,,,,
ГОРЕЧАВКА ЖЁЛТАЯ,,,,
ГОРИЦВЕТ ВЕСЕННИЙ,"Описание. Травянистый многолетник высотой до 40, реже 20-70 см, с коротким, толстым грушевидным, иногда цилиндрическим темным корневищем. Корни темные, многочисленные. Надземные побеги ветвящие - ся, прямые, многочисленные (до 20, реже 25), с ребристы - ми стеблями. Нижняя часть побега покрыта коричневыми жесткими чешуями с почками возобновления в пазухах. Средние листья очередные, сидячие, полустебле - объемлющие, в очертании пятиугольные, пальчато-рас - сеченные на пять долей, из которых две нижние – пери - сто-рассеченные, три верхние – дважды перисторассе - ченные. Доли листьев линейные, цельнокрайние, длиной 0,5-2 см, шириной 0,5-1,0 см, на верхушке шиловидно-за - остренные. Листья голые, во время цветения зеленые, по - сле отцветания – с сизым оттенком, жестковатые. Генеративный побег заканчивается одиночным крупным (2-7 см в диаметре) цветком. Чашелистиков 5, опушенных, зеленых, с фиолетовым или коричневым оттенком. Лепестков 15-25, свободных, ярко-желтых, продолговато-эллиптических, голых, на верхушке слегка суженных, мелкозазубренных. Тычинки и пестики много - численные, свободные, спирально расположенные. Плоды сложные, состоят из многочисленных одно - семянных орешков, спирально расположенных на полом цветоложе. Орешки обратнояйцевидные, мелкие (3-5 мм), ячеисто-морщинистые, с хорошо выраженным спинным килем, волосистые, на верхушке с крючкообразно изо - гнутым носиком, длиной около 1 мм. Масса 1000 семян 7-12 г. Диплоидный набор хромосом 2 n=16. Лекарственным растительным сырьем является тра - ва горицвета весеннего. На Урале и в Западной Сибири встречаются две формы этого вида, отличающиеся шириной долек листа и окраской побегов. На стыке ареалов горицвета весенне - го с другими видами горицвета обнаружены их гибрид - ные формы. Близкие виды. Горицвет сибирский – A. apennina L. (A. sibirica (Patrin ex DC.) Ledeb .) – более северный вид, произрастает в светлых лесах Урала, Алтая, Тывы и Восточной Сибири. Отличается от горицвета весенне - го малораскидистыми слабоветвистыми в верхней части побегами. Листья в очертании широкотреугольные или ромбические, трижды перисторассеченные, с более ши - рокими, чем у горицвета весеннего, ланцетовидными до - лями. Вторая пара долек первого порядка (считая снизу) почти горизонтальная, значительно длиннее остальных. Чашелистики голые, число их непостоянно. Орешки про - долговато-ячеисто-морщинистые, почти голые, с загну - тым носиком. Горицвет волжский – A. wolgensis Stev en. подходит к ареалу горицвета весеннего с юга, из степной зоны. Это растение более мелкое, высотой 15-30 см (реже до 40 см). Образует раскидистый куст с растопыренными ветвями. Листья в очертании широкотреугольные, дважды пери - стые, вторичные доли их ланцетовидные, рассеянно-опу - шенные. Цветки более мелкие, бледно-желтые. Чашечка из пяти рассеянно-опушенных чашелистиков. Орешки слабоморщинистые, с прямым (неприжатым) носиком. Горицвет пушистый – A. villosa Ledeb. примыкает к ареалу горицвета весеннего в южных районах Сибири. Этот вид по многим признакам приближается к горицве - ту волжскому. Отличается перистыми листьями, густым опушением всего побега, чашечки и плодиков; носик пло - дика у него согнут и прижат всей поверхностью.",,,
